topic_no	test_statistic	p-value	topic_words
topic_01	19.34037239427166	6.962209196059493e-81	yudel tante weizmann cramer frost meecham oncle docteur tête voir 
topic_03	18.10814468078961	8.820061483232672e-72	fit puis demanda vers main yeux tête ça regarda prit 
topic_32	16.7057519330425	2.8740408248415873e-61	ahorn cheval bix homme thorp ohihani chevaux whittaker hommes fen 
topic_12	14.440258156977169	1.5430700858270816e-46	oui dire monsieur chose voulez savez homme crois quelque jamais 
topic_48	13.533410514930557	3.189208387948132e-41	fit voix yeux demanda vers tête regard répondit main jeune 
topic_13	13.335173647618877	3.985958182769492e-40	inspecteur finch pendlebury wexford wagstaffe demanda répondit withers carella pascoe 
topic_33	13.071096465986722	1.287051716822408e-38	porte chambre lit fenêtre escalier nuit bruit couloir cuisine étage 
topic_11	11.52324375476491	1.7793463074503675e-30	ça dollars cinq cent vingt dix jamais trois banque type 
topic_44	10.539970562177906	8.96361268392779e-26	sern donahoo foley harpur mellick tendre fit houghton ça beecher 
topic_09	9.49726834691045	2.888356457880249e-21	mc mareuil talolahti lieutenant booster belliard mongeot pj shadduk caluci 
topic_40	9.248400288189844	2.9363452595400066e-20	dis demandai puis vis fit yeux vers pris tête savais 
topic_18	9.199901936015062	5.1059664455246875e-20	bone steemer deal zoulou colonel piggot betts comiti homme slaughter 
topic_47	8.779274188718933	2.2030351025759926e-18	grouchko ça byrum fleck thayer mccain boldo rudge bender américain 
topic_42	8.585542697444293	1.0860838291712014e-17	corps police inspecteur victime cadavre empreintes enquête crime bureau meurtre 
topic_35	8.065309942400289	8.99073124320247e-16	feston tennison gaunt veilleux homme massart anglais hommes otley shaddermacher 
topic_08	7.336543545630958	2.4115607046813734e-13	nom femme dab holt fellows homme appelé voiture quelques flics 
topic_21	7.237878391709568	5.054762840549832e-13	laviolette devant volnay campion morts commissaire throgmorton trois homme nuit 
topic_30	6.802518208510354	1.1084705041233723e-11	eau mer vers vent route bois terre chemin loin arbres 
topic_29	4.432829967469378	9.439733023304015e-06	cayley hartford gayleigh toke stockler fit herrington dover selmer carrier 
topic_31	1.972252471918547	0.04862681664480821	lettre papier bureau lettres enveloppe nom journal livre photo écrit 
topic_17	1.6137772101244696	0.106625835019606	père mère jamais enfants fille grand enfant jour femme parents 
topic_19	1.217966769081258	0.22327415007446905	père grand église mère curé prêtre histoire quelques guerre algérie 
topic_22	0.522767883065309	0.6011553372760889	voiture route devant volant portière arrière voitures côté derrière moteur 
topic_38	0.48042407142103766	0.6309433214640681	main tête puis vers contre yeux fit homme mains visage 
topic_36	0.2705923270287316	0.7867141120506491	ça puis tête pris yeux demandé dire jamais main faisait 
topic_45	-0.22718898366433726	0.8202845185409472	cheveux yeux homme fille visage ça portait jeune chemise bleu 
topic_39	-0.6206739606185061	0.5348380652529006	heures téléphone heure bureau chez oui soir police numéro voix 
topic_23	-1.0857687212476754	0.2776379163360932	legs commissaire gi gier fit monsieur augie oui hommes giaffino 
topic_05	-2.1271854825467735	0.033449022335518774	pu pouvait jamais toute personne doute temps raison dû homme 
topic_16	-2.8142143405157825	0.0049069491123147286	table verre café cuisine bouteille eau manger heures boire soir 
topic_00	-3.431893192148195	0.0006039323246137283	musique scène trois leurs homme théâtre soir jeu orchestre danse 
topic_15	-3.5291449539172106	0.00042153659872075274	cadin inspecteur ça vers près commissaire mendip viper place dès 
topic_14	-3.582638588062978	0.0003433631274897295	train hommes trois avion gare heures quai autres wagon homme 
topic_10	-4.265781729794905	2.0478905305444328e-05	ça kite malaussène monsieur coudrier commissaire tête inspecteur silistri divisionnaire 
topic_25	-5.078017928944782	4.0054987277541227e-07	ça oui dis type nom faroux toujours quoi chez hein 
topic_07	-5.228140348082533	1.7723035749466044e-07	ça veux dire dis oui chose quoi faut jamais peux 
topic_24	-5.454301421840705	5.1458639824516295e-08	devant porte derrière murs quelques leurs vers grande entre place 
topic_20	-5.47593216674024	4.665960058187247e-08	ça béru dis demande quoi grand faut bérurier puis gars 
topic_46	-5.6258338170196955	1.956459967093637e-08	docteur médecin dr hôpital infirmière malade step clinique cush gallois 
topic_04	-6.544181756293835	7.080542410700606e-11	adamsberg danglard commissaire demanda homme veyrenc ça retancourt oui trois 
topic_27	-7.910028312027014	3.124073319378843e-15	leurs temps autres quelques entre toujours toutes travail jamais années 
topic_49	-8.54460996003904	1.679680738671917e-17	ça quoi merde gueule mec grand flics dire genre type 
topic_34	-10.238502239235585	3.20370066985228e-24	maigret commissaire femme homme bureau toujours temps heure oui vers 
topic_28	-10.841765598285503	4.368017671523128e-27	femme jeune pouvait fille toujours jamais yeux faisait temps toute 
topic_02	-12.410499485117661	1.6125491367414814e-34	ministre pays howie président mengele guerre suisse politique directeur juifs 
topic_06	-12.466263087307077	7.381408903000267e-35	laube leprat main toujours doutre oui murmura sernine quelque hermantier 
topic_26	-15.16109468552711	4.771645017795097e-50	monsieur madame gunn mme ça sieur bain grand buny pauvre 
topic_41	-15.376658181545517	6.6424616715766095e-52	yeux corps nuit leurs jour voix visage toute entre jamais 
topic_43	-18.057761038015457	3.1048638518797237e-69	vers main yeux puis tête regarde porte devant demande lève 
topic_37	-19.716789474846326	1.6856057449955226e-82	commissaire mme monsieur avocat crime maître todhunter témoin président affaire 
