topic_no	test_statistic	p-value	topic_words
topic_17	27.606051242210388	1.7544974015706136e-161	dire pouvoir savoir voir aller vouloir luire chose oui quelque 
topic_48	23.96531097077794	1.724455497562332e-121	finch wexford homme voir heure inspecteur piggot saivre femme bencolin 
topic_39	22.05009649871513	7.05190248009135e-104	dire voir pouvoir aller gi luire sernine quelque demander vers 
topic_13	20.708072181414412	2.5379228310867458e-92	feston homme dire campion pouvoir hartford gayleigh anglais toke pr 
topic_11	18.09791013138547	1.4202610187363731e-71	pendlebury grouchko todhunter wagstaffe inspecteur lenormant monsieur dire homme celui 
topic_47	13.811044220489139	8.807348657650521e-43	dire luire jusque gardella donahoo lorsque flic quelque pascoe vouloir 
topic_38	11.881637931045288	2.4676931509784754e-32	pouvoir chien eau quelque route arbre bois terre chemin mètre 
topic_26	10.760598411917277	7.787351382584815e-27	dire luire pouvoir aller oeil main regarder vouloir tête savoir 
topic_37	9.609495675367027	1.0044035073628646e-21	ahorn homme femme cribb luire enfant ohihani peau celui combat 
topic_24	9.093529858440938	1.1720620714022475e-19	porte ouvrir pouvoir chambre fenêtre quelque escalier entrer trouver mur 
topic_09	8.072182597046393	7.797126456058159e-16	lettre papier pouvoir bureau écrire trouver lire luire enveloppe prendre 
topic_25	7.869141595270895	3.98333420549925e-15	dire yudel luire voir femme vandoosler savoir pouvoir demander type 
topic_10	6.171045241804118	7.063263702766893e-10	dire aller pouvoir luire savoir vouloir voir mettre type falloir 
topic_14	5.520792090170567	3.482127884317942e-08	pouvoir crime trouver tuer celer devoir dire celui assassin personne 
topic_49	5.19399454137795	2.100527749228903e-07	heure carella savoir pouvoir fellows bureau dancourt femme fille commissaire 
topic_46	4.250466528989825	2.1544896331447265e-05	dire aller oui savoir voir devoir vouloir luire quelque celui 
topic_31	4.222804081235793	2.438917006386967e-05	heure aller luire pouvoir nuit chambre dire prendre passer lit 
topic_23	3.425158410943093	0.000617793552035046	luire pouvoir jeune femme quelque devoir venir prendre dire voir 
topic_01	2.343104910287609	0.019152235113192025	gaunt faucon cayley merrivale celer bewlay gamadge monsieur club masters 
topic_27	2.2615193139433867	0.023754084712484275	docteur médecin pouvoir dr infirmier luire hôpital malade dire devoir 
topic_19	1.9839213302341396	0.047293334271473385	maigret luire voir celer femme heure savoir homme aller commissaire 
topic_04	1.6327295936226085	0.1025672062275111	inspecteur police pouvoir bureau homme heure affaire luire policier aller 
topic_21	1.3515906153062371	0.17654616701353978	dire femme luire appeler bonape mère nom meecham homme victime 
topic_43	0.9803059379420953	0.32696456377525596	verre dire boire table aller bouteille luire café manger prendre 
topic_42	0.822434811371171	0.410854991217916	bateau mer eau bord pont île homme port vers heure 
topic_07	0.5758696743789992	0.564717226702465	dire cheval laviolette luire gunn devant voir vers course aller 
topic_05	-0.6905032757490333	0.48989991549182355	voiture route pouvoir aller prendre luire arrêter vers devant passer 
topic_08	-1.0286412902352216	0.3036822731614035	grand mur entrer fenêtre celui devant voir quelque jardin lequel 
topic_32	-1.081598467844174	0.2794851073193278	terrier sern volnay cush homme mendip viper dire augagneur épaulard 
topic_29	-2.7316347178022236	0.006324351129984053	adamsberg dire danglard luire homme savoir celer pouvoir commissaire demander 
topic_06	-2.7802412194164923	0.005446110884361422	luire main pouvoir aller tête homme tirer vers mettre arme 
topic_16	-3.323894691667087	0.0008916347087797384	dire aller pouvoir savoir voir luire vouloir quoi foutre mettre 
topic_34	-3.3796634336731404	0.000729709927506301	luire oeil homme main femme cheveu noir visage grand sourire 
topic_02	-5.33662885480612	1.0003301835511314e-07	bone malaussène monsieur tête main luire coudrier zoulou commissaire flic 
topic_44	-5.99928326655939	2.0972563981778083e-09	téléphone dire pouvoir luire aller heure voix appeler oui numéro 
topic_12	-7.204977610280983	6.468744479115623e-13	pouvoir quelque grand celui temps année jour travail livre nouveau 
topic_36	-7.29796277665142	3.4784383569706464e-13	cadin luire venir vers inspecteur prendre près mettre kite passer 
topic_00	-7.562881986604502	4.549748189451896e-14	père luire mère enfant dire aller fille savoir voir pouvoir 
topic_28	-8.675551423795874	5.700884949025587e-18	président barran avocat témoin monsieur propp juré maître accusé devant 
topic_22	-9.03442797096583	2.501316077993328e-19	aller dire luire savoir grand quoi demande falloir voir venir 
topic_45	-9.46850658832144	4.563608081722712e-21	dire byrum thayer voir luire aller dobbs dab caldwell savoir 
topic_33	-9.830678323173741	1.3774270848015035e-22	film scène jouer musique dire théâtre voir vers aller cinéma 
topic_30	-10.922454374511743	1.8195612197722834e-27	grand père celui homme jour venir château église luire cimetière 
topic_18	-10.951970130660111	1.7167461684579722e-27	dire aller voir falloir pouvoir grand vouloir gars foutre savoir 
topic_35	-11.990411599489311	1.538492295131776e-32	guerre pays français allemand américain juif suisse homme politique mengele 
topic_40	-12.699286757436985	1.636892753145594e-36	luire pouvoir savoir dire vouloir devoir croire celer jamais aller 
topic_41	-14.28082028638199	4.521987974104697e-45	dire aller luire voir main savoir pouvoir vouloir quelque sentir 
topic_20	-14.985111080185987	8.732352092995056e-50	pouvoir luire oeil corps sentir quelque main visage nuit seul 
topic_15	-18.65930682902697	2.5156471981733675e-74	aller luire howie gallois quelque jeune mc vouloir voix attendre 
topic_03	-27.694772831477845	2.9289241485390354e-154	monsieur mme commissaire dire oui pouvoir aller vouloir voir venir 
