topic_no	test_statistic	p-value	topic_words
topic_15	21.413820086688652	1.4227016006221739e-98	ça fit tête demanda puis yeux regarda dire air porte 
topic_99	17.759977666926883	3.893127514453923e-69	ça chose temps toujours quelque quelqu chez dire jamais vraiment 
topic_93	17.240554249751835	9.225016238288011e-65	wexford step gardella fit tennison brandshaft blackie thurston keif otley 
topic_52	16.567197698011867	1.4469516194277525e-60	pu police affaire crime personne homme cas meurtre chose oui 
topic_82	15.78024009711911	3.0542968678492848e-55	voir docteur dire oui vais chambre mieux voulez allez chez 
topic_50	14.588504346280184	3.0256626769325336e-47	pendlebury wagstaffe inspecteur lenormant dab hartford herrington fayrer durut gayleigh 
topic_36	12.7789885843691	7.532256284244747e-37	oncle tante mendip viper campion quench delft grignon fit vieille 
topic_69	12.188946249628485	1.0561478602178775e-33	howie tante bix thorp fit mcnabe robineau tête dire faulkner 
topic_00	12.138590927163168	1.5854962003024083e-33	grouchko cayley boule margate fen anelo dulières cramer carmandine cook 
topic_23	11.026991311848482	5.846455900594687e-28	fleck incendie gessler cobb nims mckev lefleur feu lindstrom pepperdine 
topic_35	10.951535744509053	1.102215512104299e-27	fit demanda vers pouvait puis prit allait femme savait yeux 
topic_13	10.86245758249446	3.480610635365091e-27	merrivale bewlay masters giaffino commandant ambatra earnshaw dacosta gitan cependant 
topic_30	10.398093262288569	3.7713144372389324e-25	porte chambre fenêtre escalier lit bruit couloir derrière lampe entrée 
topic_38	10.175720767593168	4.300292188345231e-24	frost gamadge castelard devarest macnair vauregard cramer voir dr mongolo 
topic_12	9.6673880032893	6.3758334086011e-22	feston holt homme buny inspecteur anglais monsieur professeur espagnol shaddermacher 
topic_66	9.658374472838803	6.211345181285489e-22	chez soir heures puis voir demandé dire nuit ça pris 
topic_16	9.334603309217133	1.3279262023102067e-20	pascoe huby dalziel wield cottage fountain stu amberley keech gubbins 
topic_29	9.107716358860293	1.098300703117692e-19	fit jeune demanda vers répondit regard femme voix homme yeux 
topic_07	8.79836012891511	1.8467308686665044e-18	thursday quelques appelé nom femmes mère stoner voiture ellroy flics 
topic_83	7.741945650108399	1.1061555258830722e-14	ça dollars cinq cent dix vingt billets banque cents trois 
topic_62	7.707721044384876	1.4867801467211144e-14	cheval chevaux deal bencolin griff course saligny écurie courses vautel 
topic_18	7.70677177693837	1.52583655177144e-14	bone zoulou os petersen prindle lightning dr répondit tête autres 
topic_26	7.227725363248757	5.582646197319723e-13	cribb algérie vibart combat thackeray oas quelques mère choukroun grand 
topic_73	6.791285656065069	1.2044590221474537e-11	dis demandai puis vis pris fit vers pouvais entendis mis 
topic_42	6.114222520492219	1.0219059410908833e-09	chien chiens animal bête animaux monk hartog aneki leurs pattes 
topic_94	5.788042533173045	7.473059623410342e-09	cadin inspecteur terrier vers près ça tête novacek fit dès 
topic_95	5.2828680850504055	1.3098627273174976e-07	chemin route bois arbres eau loin terre mètres vers quelques 
topic_31	5.181564834726408	2.262650634260539e-07	père mère fille jamais femme enfant jeune grand enfants parents 
topic_44	4.617393711644744	3.957342300496306e-06	lettre papier lettres enveloppe bureau nom feuille écrit écrire carte 
topic_33	4.489882815518632	7.246958848710589e-06	barran withers propp inspecteur gardien méloutis costello dobie cellule porte 
topic_54	4.325353220248837	1.544736448627923e-05	fit puis vers main homme prit tête sortit ouvrit regarda 
topic_25	4.227116546173678	2.3941426435028355e-05	photo photos ça journal article kite film écran journaliste trois 
topic_53	3.528923441472282	0.0004197894566088286	ça legs fit gars type porte garçon américain demanda flics 
topic_63	3.225205166299129	0.0012644928366426305	lenormand inspecteur pr baumann dupont mme burroughs dunoyau lansing horrocks 
topic_85	3.1877784187740508	0.0014405746924666745	polletti dover holmes bowers wiggins crofts connington sénateur street drury 
topic_70	3.0769697037376758	0.0020986881055902883	mer bateau eau bord pont plage port île vers quai 
topic_87	2.8918794011452156	0.003840436454946999	meecham cerveau hungerford épaulard loftus web schratt treuffais boyle goémond 
topic_77	2.264285893409575	0.023596683474850735	yudel weizmann bender quade homme condon majola thayer knudsen pruitt 
topic_57	2.224005655844781	0.026186316392533614	faut dire jamais vais voulez allez oui temps mieux veux 
topic_75	1.3978182767326908	0.16221190528143653	train gare valise wagon quai compartiment gaunt voyageurs voyage rails 
topic_41	1.3560845474632042	0.17512236438123382	verre table café cuisine eau bouteille manger boire lit puis 
topic_92	1.035506231327039	0.3004733091110358	yeux tête main voix visage contre mains corps vers puis 
topic_96	4.2818825204297014e-05	0.9999658369913689	voiture route volant arrière portière moteur devant côté voitures camion 
topic_79	-0.05097220532679189	0.9593491240579073	ministre grand président sciences père membre directeur conseil étudiants groupe 
topic_84	-0.7125633566444812	0.47616858517265004	ahorn ohihani homme femme ohisihan enfant femmes nokh peau ventre 
topic_97	-0.7590456837203422	0.44785604845523763	porte murs bois table pièces trois mur fond livres grand 
topic_45	-0.7778091434637808	0.4367158700260637	drogue mccain boss came harrar héroïne stupéfiants seringue falcon vingt 
topic_88	-1.3784290392488034	0.1681620115483301	ça vandoosler demanda veilleux type tête massart kehlweiler vers trois 
topic_71	-1.4269649416456653	0.1536464753456852	téléphone voix numéro heures oui bureau heure chez appareil fil 
topic_89	-1.6052601857797646	0.10851230105438599	byrum thayer nolet thanet fabbri rudge ça pettifer winthrop jouve 
topic_34	-1.668463412201577	0.09528155861808123	mengele farakhan maurer slaughter allemagne hauser allemand senn guerre buenos 
topic_56	-1.7697566449138142	0.0768566854861109	adamsberg danglard commissaire veyrenc retancourt demanda homme oui trois gars 
topic_02	-1.8543991612488553	0.06373330372705412	corps police inspecteur cadavre victime commissaire heures empreintes crime enquête 
topic_09	-1.8826604875111075	0.05980197769552711	tête puis pris main regardé demandé air mis sorti ça 
topic_90	-2.0201218862342962	0.043429250307149905	fit demanda puis ça répondit flaty sern yeux tête regarda 
topic_06	-2.100626195086063	0.035723175079409614	finch donahoo fit ça rosbach noblet weppo saperstein demanda lamarche 
topic_51	-2.1947738922034237	0.02822050913735869	yeux cheveux visage femme homme fille jeune main regard sourire 
topic_91	-2.438164233029174	0.014795056122319707	docteur médecin hôpital dr infirmière malade cush clinique médecins malades 
topic_86	-2.491881204327334	0.012732897545842753	quelques pouvait temps assez ainsi ailleurs jour toute affaire devait 
topic_01	-2.507948666735439	0.012178814785826315	faucon jallu père faisais aimais voulais grand savais pouvais allais 
topic_04	-2.62760750597971	0.00862851295828217	ça dis oui faroux type chez toujours nom quoi hein 
topic_17	-2.838786410146766	0.004546792272055128	arme revolver pistolet balle feu fusil canon balles hommes trois 
topic_48	-2.8744732521741	0.004075596215483648	malaussène coudrier oui ça silistri hadouch inspecteur divisionnaire cissou belleville 
topic_43	-3.0045846762385464	0.0026737011835620632	maigret commissaire femme bureau homme toujours temps heure oui porte 
topic_40	-3.1919038073676114	0.0014253114340137415	gier short lorsque dahl boulot ça bousquet commissaire dis motel 
topic_60	-3.31387176913962	0.0009263148519302802	devant porte vers trottoir homme derrière voiture immeuble place quartier 
topic_10	-3.3151776078292468	0.0009268627704150934	steemer decambrais émeri comiti peste peppe ordebec ça armée hippo 
topic_19	-3.5956344509447224	0.0003259825964709587	école gallois élèves classe mcfee dodd professeur nettleton mémé fredrika 
topic_24	-4.033687377086065	5.606008237996095e-05	ça gars fit grand môme dorf bri petits pouvait reilly 
topic_81	-4.10240742301059	4.203603654050143e-05	pj septembre bazin jour corsaire yeux tû heures musil eïd 
topic_98	-4.250873761204027	2.1664531860719025e-05	leurs autres hommes vers musique filles femmes trois entre jeunes 
topic_78	-4.826401671858689	1.442440981877889e-06	laviolette devant ça leurs église château grand trois vers cheval 
topic_47	-5.450560231908962	5.37845069469624e-08	ça béru dis demande grand quoi bérurier faut puis gars 
topic_80	-5.578336138758086	2.6167933040510686e-08	plessis houghton loureiro patinay howery shipka redfield fille colonel pascoe 
topic_32	-5.610472614634472	2.1360103365457087e-08	livre jamais toujours temps dire livres autres histoire entre sens 
topic_39	-5.611103062082055	2.2035056784631527e-08	bonape biggs sieur subito himmelblau trois gamme mirmidou commandant graylop 
topic_28	-5.623288373595605	1.9724028864346136e-08	monsieur oui dire ça chose voulez savez quelque homme commissaire 
topic_74	-5.859834774475387	4.913985472442397e-09	ça veux dis oui dire peux chose faut crois quoi 
topic_08	-6.42191034723374	1.5686505117366452e-10	laube bemie dolguet fléchelle speck lavorel match club arbitre alderton 
topic_64	-6.526314686598229	7.825603740796266e-11	mc flavières booster jeune femme gévigne voix tête entity punk 
topic_67	-6.664053307590899	3.187599677629655e-11	volnay commissaire éon morts étranges sartine père scarron apothicaire policier 
topic_68	-6.805363198059618	1.2138834326038615e-11	avion caldwell heures pilote aéroport shadduk appareil stockler cabine krantz 
topic_61	-7.029162494128448	2.4813939492280148e-12	mère père ça enfants grand chez frère faut veux village 
topic_03	-7.347306238727222	2.3975943299456214e-13	bureau police affaire directeur chef service dossier trois travail enquête 
topic_46	-7.392454546031337	1.714541308097735e-13	testament notaire whittaker tante finch beaupré castelet sourlot castagnac vassal 
topic_55	-7.479328788750906	9.790336675314952e-14	bleston street déjà chez jours samedi cathédrale meurtre jour quelques 
topic_11	-7.800804709922477	7.736664632603135e-15	nuit jour homme yeux corps jamais temps toujours quelque seul 
topic_65	-7.84068583767474	6.301502854207218e-15	casteljal désiris squelette laumier oui covet pou russe montferrier viguier 
topic_76	-7.99717875344809	1.8039640037409282e-15	tête monsieur commissaire main dis chez porte train kew yeux 
topic_27	-8.10991531047825	7.485633987688871e-16	harpur mellick tendre chef powell vemon eventreur ça oui hallward 
topic_22	-10.772781265777162	9.533092416830035e-27	ça quoi dire toujours type temps merde trois jamais flics 
topic_58	-10.856188741338176	4.8808397208726575e-27	guerre leurs pays autres contre entre trois armée hommes grand 
topic_21	-10.9087560473529	2.960167161431354e-27	avocat président témoin maître procès monsieur prison jurés dancourt défense 
topic_14	-11.631734428550608	1.2173883111592157e-30	todhunter foley steinemann club fauteuil chaubouret monsieur laversanne secrétaire madame 
topic_37	-12.228384136690966	1.5356408052292089e-33	leprat doutre sernine mareuil hermantier murmura main monsieur oui quelque 
