prob	word	topic
0.02841	wexford	15
0.01922	testament	15
0.01409	notaire	15
0.01135	femme	15
0.01015	fit	15
0.01	mère	15
0.00946	noblet	15
0.0093	trevarrow	15
0.00903	enfant	15
0.00876	burden	15
0.01877	père	53
0.00967	mère	53
0.00819	grand	53
0.00746	algérie	53
0.00735	guerre	53
0.00525	quelques	53
0.00447	demandé	53
0.00436	oas	53
0.00423	jumeaux	53
0.00417	français	53
0.0158	bureau	62
0.00882	lettre	62
0.00834	papier	62
0.00657	dossier	62
0.00579	nom	62
0.00556	lettres	62
0.00534	trois	62
0.00518	rapport	62
0.00508	enveloppe	62
0.00501	quelques	62
0.02874	maigret	96
0.01073	commissaire	96
0.01001	femme	96
0.00742	bureau	96
0.00636	homme	96
0.00614	heure	96
0.00572	toujours	96
0.00568	oui	96
0.00552	temps	96
0.00507	chez	96
